Catégories,Variables,Réponses,Unit,Ombella M'Poko,Lobaye,Mambéré Kadéi,Nana Mambéré,Sangha Mbaéré,Ouham Péndé,Ouham,Kémo,Ouaka,Mbomou,Bangui,TOTAL,Source,Source Link,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,24%,36%,5%,0%,67%,57%,37%,17%,35%,15%,31%,31%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,10%,36%,16%,15%,67%,57%,29%,17%,10%,0%,15%,22%,,,,,,,,,
,, Je ne connais pas les auteurs,%,62%,27%,89%,69%,67%,86%,54%,83%,51%,38%,50%,57%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,5%,0%,5%,15%,33%,29%,3%,0%,0%,15%,4%,6%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,1%,9%,0%,0%,33%,43%,17%,0%,10%,8%,6%,12%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,5%,0%,0%,0%,33%,14%,26%,0%,5%,23%,5%,11%,,,,,,,,,
,,Autre,%,4%,0%,0%,0%,0%,0%,3%,0%,14%,0%,3%,4%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,16%,0%,14%,9%,50%,50%,7%,0%,18%,0%,39%,17%,,,,,,,,,
,,"oui, au chef de quartier",%,80%,25%,64%,82%,75%,75%,76%,100%,88%,0%,58%,71%,,,,,,,,,
,,"oui, au tribunal",%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,6%,2%,,,,,,,,,
,,"oui, à la gendarmerie",%,13%,50%,33%,25%,50%,25%,19%,11%,12%,0%,21%,19%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,1%,0%,3%,0%,0%,50%,31%,11%,71%,0%,2%,19%,,,,,,,,,
,,"oui, à un parent",%,52%,0%,0%,0%,0%,25%,76%,89%,22%,0%,25%,39%,,,,,,,,,
,,"Oui, procureur/ parquet",%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,,,,,,,,,
,,Autre,%,4%,0%,0%,0%,25%,0%,7%,0%,6%,100%,0%,4%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,36%,27%,42%,31%,29%,45%,30%,0%,20%,21%,29%,30%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,33%,13%,42%,26%,29%,45%,21%,0%,13%,14%,22%,24%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,44%,25%,38%,75%,50%,75%,64%,68%,89%,0%,49%,59%,,,,,,,,,
,,oui,%,56%,75%,62%,25%,50%,25%,36%,32%,11%,100%,51%,41%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,19%,100%,25%,22%,0%,33%,59%,85%,87%,0%,25%,42%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,80%,0%,80%,69%,100%,67%,67%,85%,80%,0%,67%,73%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,6%,0%,0%,12%,50%,33%,0%,0%,0%,0%,9%,4%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,,,,,,,,,
,,Trop lent,%,10%,0%,0%,0%,50%,0%,19%,15%,0%,0%,12%,13%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,2%,0%,0%,0%,0%,33%,0%,15%,0%,0%,3%,2%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,3%,0%,8%,10%,0%,0%,15%,0%,0%,0%,18%,12%,,,,,,,,,
,,Autre,%,0%,0%,8%,0%,0%,0%,0%,0%,26%,0%,2%,4%,,,,,,,,,
CRIMES - destruction de maison ou biens,Victime de destruction de votre maison ou autre bien vous appartenant (12 derniers mois),Oui,%,9%,6%,13%,0%,2%,12%,28%,7%,11%,4%,11%,12%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,44%,54%,46%,100%,50%,65%,37%,32%,66%,67%,45%,45%,,,,,,,,,
,,oui,%,56%,46%,54%,0%,50%,35%,63%,68%,34%,33%,55%,55%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,22%,43%,52%,100%,0%,12%,41%,50%,29%,0%,25%,31%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,22%,14%,25%,100%,50%,47%,59%,0%,29%,0%,25%,36%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,19%,0%,9%,100%,50%,76%,64%,42%,18%,0%,20%,39%,,,,,,,,,
,, Je ne connais pas les auteurs,%,62%,14%,48%,0%,50%,47%,50%,67%,53%,50%,41%,47%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,8%,0%,0%,0%,0%,35%,0%,0%,6%,0%,12%,11%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,11%,29%,0%,0%,0%,53%,27%,17%,24%,17%,8%,23%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,13%,14%,0%,0%,0%,18%,23%,0%,6%,33%,8%,12%,,,,,,,,,
,,Autre,%,7%,0%,0%,0%,0%,0%,0%,0%,6%,0%,3%,2%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,20%,33%,8%,0%,0%,33%,11%,0%,57%,0%,35%,18%,,,,,,,,,
,,"oui, au chef de quartier",%,87%,33%,72%,0%,50%,44%,82%,100%,88%,67%,72%,76%,,,,,,,,,
,,"oui, au tribunal",%,18%,50%,5%,0%,0%,0%,5%,0%,0%,0%,18%,8%,,,,,,,,,
,,"oui, à la gendarmerie",%,26%,50%,41%,0%,50%,56%,26%,0%,11%,33%,8%,23%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,5%,0%,0%,33%,29%,8%,32%,0%,9%,18%,,,,,,,,,
,,"oui, à un parent",%,51%,0%,0%,0%,100%,11%,58%,100%,11%,33%,17%,35%,,,,,,,,,
,,"Oui, procureur/ parquet",%,7%,0%,8%,0%,0%,0%,3%,0%,0%,0%,16%,5%,,,,,,,,,
,,Autre,%,3%,0%,0%,0%,0%,0%,3%,0%,12%,33%,4%,4%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,44%,31%,36%,100%,25%,46%,47%,0%,23%,33%,36%,37%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,31%,15%,15%,0%,0%,42%,23%,0%,8%,22%,18%,20%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,40%,67%,67%,0%,0%,67%,63%,92%,100%,33%,47%,65%,,,,,,,,,
,,oui,%,60%,33%,33%,0%,100%,33%,37%,8%,0%,67%,53%,35%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,27%,25%,15%,0%,0%,17%,25%,75%,100%,0%,51%,34%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,65%,75%,54%,0%,0%,67%,92%,71%,77%,100%,59%,73%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,8%,25%,0%,0%,0%,17%,8%,8%,12%,0%,6%,7%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,12%,0%,0%,33%,0%,0%,0%,0%,5%,6%,,,,,,,,,
,,Trop lent,%,23%,0%,30%,0%,0%,0%,4%,25%,0%,0%,13%,14%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,12%,0%,12%,0%,0%,0%,4%,8%,0%,0%,7%,7%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,7%,0%,12%,0%,0%,33%,25%,21%,0%,0%,11%,17%,,,,,,,,,
,,Autre,%,3%,0%,0%,0%,0%,0%,4%,0%,22%,0%,0%,5%,,,,,,,,,
CRIMES - agression physique,Victime d’agression physique (12 derniers mois),Oui,%,6%,6%,7%,2%,1%,8%,29%,7%,16%,1%,8%,10%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,35%,62%,34%,48%,100%,82%,41%,5%,35%,50%,36%,42%,,,,,,,,,
,,oui,%,65%,38%,66%,52%,0%,18%,59%,95%,65%,50%,64%,58%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,24%,12%,30%,50%,0%,21%,46%,100%,28%,0%,35%,33%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,20%,38%,54%,50%,100%,50%,50%,0%,43%,0%,26%,42%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,14%,25%,39%,0%,100%,79%,38%,100%,7%,0%,28%,39%,,,,,,,,,
,, Je ne connais pas les auteurs,%,49%,25%,15%,0%,100%,71%,31%,0%,43%,0%,16%,36%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,22%,0%,0%,0%,0%,43%,0%,0%,0%,100%,12%,13%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,15%,50%,0%,21%,23%,0%,22%,0%,11%,17%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,6%,0%,0%,0%,0%,7%,12%,0%,29%,100%,6%,10%,,,,,,,,,
,,Autre,%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,2%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,24%,0%,36%,0%,0%,67%,5%,0%,36%,0%,39%,20%,,,,,,,,,
,,"oui, au chef de quartier",%,58%,40%,32%,0%,0%,0%,76%,94%,76%,100%,45%,63%,,,,,,,,,
,,"oui, au tribunal",%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,2%,,,,,,,,,
,,"oui, à la gendarmerie",%,22%,60%,48%,100%,0%,67%,22%,0%,23%,100%,18%,24%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,0%,0%,0%,0%,38%,46%,50%,0%,2%,23%,,,,,,,,,
,,"oui, à un parent",%,22%,0%,0%,0%,0%,0%,38%,80%,23%,100%,19%,27%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,5%,2%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,33%,3%,0%,12%,0%,8%,6%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,64%,54%,71%,100%,50%,29%,79%,43%,60%,0%,62%,63%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,25%,31%,45%,29%,0%,18%,48%,5%,5%,0%,31%,30%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,43%,80%,24%,0%,0%,100%,30%,63%,92%,0%,44%,51%,,,,,,,,,
,,oui,%,57%,20%,76%,100%,0%,0%,70%,37%,8%,100%,56%,49%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,27%,25%,100%,0%,0%,0%,18%,91%,96%,0%,38%,49%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,58%,50%,0%,0%,0%,33%,45%,55%,96%,0%,46%,61%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,4%,0%,0%,0%,0%,67%,9%,0%,0%,0%,11%,9%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,33%,18%,9%,4%,0%,11%,9%,,,,,,,,,
,,Trop lent,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,12%,25%,0%,0%,0%,0%,27%,0%,4%,0%,4%,10%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,27%,25%,0%,0%,0%,67%,18%,0%,0%,0%,20%,14%,,,,,,,,,
,,Autre,%,8%,0%,0%,0%,0%,0%,9%,0%,25%,0%,0%,13%,,,,,,,,,
CRIMES - racket sur les routes,Victime de racket sur les routes (12 derniers mois),Oui,%,10%,12%,11%,3%,7%,38%,46%,5%,17%,14%,12%,19%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,80%,68%,50%,76%,75%,62%,71%,45%,54%,100%,75%,66%,,,,,,,,,
,,oui,%,20%,32%,50%,24%,25%,38%,29%,55%,46%,0%,25%,34%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,37%,18%,62%,81%,25%,78%,63%,85%,78%,33%,43%,59%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,26%,47%,13%,16%,75%,94%,54%,85%,82%,15%,24%,55%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,27%,18%,0%,16%,75%,94%,61%,31%,5%,12%,17%,47%,,,,,,,,,
,, Je ne connais pas les auteurs,%,30%,12%,13%,0%,25%,4%,28%,0%,9%,33%,17%,18%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,23%,18%,0%,19%,50%,4%,11%,0%,4%,0%,8%,9%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,9%,6%,0%,0%,17%,6%,13%,0%,5%,9%,10%,9%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,1%,0%,13%,0%,33%,6%,8%,0%,9%,15%,10%,9%,,,,,,,,,
,,Autre,%,2%,0%,0%,0%,0%,0%,0%,0%,0%,24%,8%,3%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,14%,38%,26%,0%,75%,58%,17%,0%,25%,0%,20%,29%,,,,,,,,,
,,"oui, au chef de quartier",%,59%,25%,42%,0%,100%,16%,59%,62%,90%,0%,30%,47%,,,,,,,,,
,,"oui, au tribunal",%,11%,12%,0%,0%,0%,0%,0%,0%,0%,0%,12%,2%,,,,,,,,,
,,"oui, à la gendarmerie",%,30%,50%,71%,100%,75%,61%,28%,0%,10%,0%,20%,37%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,4%,12%,0%,0%,25%,6%,24%,62%,70%,0%,5%,19%,,,,,,,,,
,,"oui, à un parent",%,39%,12%,0%,0%,25%,19%,79%,75%,35%,0%,32%,38%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,50%,0%,3%,0%,0%,0%,0%,11%,2%,,,,,,,,,
,,Autre,%,0%,0%,6%,50%,0%,16%,3%,0%,10%,0%,2%,9%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,26%,24%,22%,88%,44%,73%,35%,31%,81%,30%,38%,46%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,11%,12%,6%,0%,0%,20%,3%,0%,0%,0%,6%,8%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,64%,75%,81%,50%,50%,48%,86%,62%,100%,0%,60%,73%,,,,,,,,,
,,oui,%,36%,25%,19%,50%,50%,52%,14%,38%,0%,0%,40%,27%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,11%,83%,71%,0%,50%,47%,80%,100%,100%,0%,40%,65%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,53%,17%,29%,100%,100%,53%,48%,40%,95%,0%,40%,53%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,20%,0%,8%,0%,0%,27%,4%,20%,0%,0%,5%,8%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,11%,0%,0%,0%,0%,33%,12%,0%,0%,0%,2%,12%,,,,,,,,,
,,Trop lent,%,6%,0%,0%,100%,50%,13%,20%,20%,0%,0%,14%,12%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,20%,33%,0%,0%,0%,20%,0%,0%,0%,0%,6%,8%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,22%,17%,0%,0%,100%,20%,28%,20%,0%,0%,9%,17%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,6%,4%,,,,,,,,,
CRIMES - braquage,Victime de braquage (12 derniers mois),Oui,%,6%,1%,5%,1%,3%,8%,29%,3%,9%,7%,8%,10%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,51%,100%,46%,45%,57%,59%,38%,22%,52%,100%,53%,45%,,,,,,,,,
,,oui,%,49%,0%,54%,55%,43%,41%,62%,78%,48%,0%,46%,55%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,22%,0%,30%,100%,25%,10%,62%,100%,17%,12%,33%,34%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,23%,0%,30%,0%,100%,50%,71%,100%,25%,6%,27%,42%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,18%,0%,15%,0%,50%,80%,79%,0%,33%,6%,26%,46%,,,,,,,,,
,, Je ne connais pas les auteurs,%,66%,33%,70%,0%,50%,80%,29%,50%,59%,82%,43%,52%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,2%,33%,30%,0%,25%,30%,0%,0%,0%,6%,11%,11%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,4%,33%,0%,0%,25%,50%,21%,0%,8%,12%,7%,19%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,2%,0%,0%,0%,25%,0%,8%,0%,59%,6%,10%,11%,,,,,,,,,
,,Autre,%,4%,0%,0%,0%,0%,0%,8%,0%,17%,12%,5%,7%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,27%,0%,34%,0%,100%,57%,13%,0%,19%,0%,52%,22%,,,,,,,,,
,,"oui, au chef de quartier",%,57%,0%,74%,0%,100%,0%,79%,79%,71%,0%,39%,65%,,,,,,,,,
,,"oui, au tribunal",%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,2%,,,,,,,,,
,,"oui, à la gendarmerie",%,47%,0%,47%,100%,100%,57%,36%,0%,46%,0%,28%,31%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,0%,0%,0%,14%,28%,0%,63%,0%,2%,23%,,,,,,,,,
,,"oui, à un parent",%,28%,0%,13%,0%,0%,0%,56%,100%,36%,0%,11%,40%,,,,,,,,,
,,"Oui, procureur/ parquet",%,9%,0%,0%,0%,0%,0%,3%,0%,0%,0%,22%,5%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,43%,0%,0%,10%,0%,4%,6%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,13%,33%,7%,0%,57%,47%,25%,17%,70%,0%,29%,27%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,7%,33%,7%,0%,14%,29%,10%,0%,0%,0%,14%,10%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,87%,0%,87%,100%,33%,57%,90%,86%,90%,0%,76%,87%,,,,,,,,,
,,oui,%,13%,0%,13%,0%,67%,43%,10%,14%,10%,0%,24%,13%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,10%,0%,54%,0%,100%,25%,31%,33%,100%,0%,31%,34%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,83%,0%,76%,100%,100%,50%,83%,58%,100%,0%,75%,79%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,16%,0%,0%,0%,0%,50%,0%,0%,0%,0%,7%,5%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,100%,50%,3%,0%,0%,0%,3%,8%,,,,,,,,,
,,Trop lent,%,15%,0%,0%,0%,0%,0%,9%,25%,0%,0%,12%,12%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,12%,0%,0%,0%,0%,25%,6%,42%,0%,0%,2%,11%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,5%,0%,0%,0%,0%,50%,20%,17%,0%,0%,7%,18%,,,,,,,,,
,,Autre,%,14%,0%,0%,0%,0%,0%,6%,0%,20%,0%,5%,6%,,,,,,,,,
CRIMES -corruption,Payé ou été sollicité pour payer des motivations à un représentant de l'Etat (12 derniers mois),Oui,%,5%,7%,12%,1%,2%,14%,28%,4%,4%,1%,7%,9%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,63%,81%,91%,55%,100%,84%,72%,73%,42%,50%,77%,76%,,,,,,,,,
,,oui,%,37%,19%,9%,45%,0%,16%,28%,27%,58%,50%,23%,24%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,46%,46%,51%,0%,20%,46%,57%,56%,75%,0%,57%,52%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,26%,23%,25%,0%,80%,65%,66%,56%,100%,0%,16%,48%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,31%,46%,31%,0%,100%,92%,50%,44%,0%,0%,17%,49%,,,,,,,,,
,, Je ne connais pas les auteurs,%,7%,15%,0%,0%,0%,38%,27%,12%,0%,0%,9%,20%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,7%,8%,9%,100%,40%,12%,18%,31%,0%,0%,9%,13%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,8%,0%,0%,20%,31%,18%,0%,0%,0%,12%,15%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,2%,0%,20%,0%,40%,0%,14%,0%,25%,0%,13%,10%,,,,,,,,,
,,Autre,%,4%,0%,0%,0%,0%,0%,2%,0%,0%,100%,3%,2%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,7%,0%,33%,0%,0%,60%,29%,0%,33%,0%,13%,27%,,,,,,,,,
,,"oui, au chef de quartier",%,36%,33%,67%,100%,0%,20%,65%,33%,50%,100%,54%,52%,,,,,,,,,
,,"oui, au tribunal",%,15%,33%,0%,0%,0%,0%,6%,0%,0%,0%,19%,8%,,,,,,,,,
,,"oui, à la gendarmerie",%,42%,67%,67%,100%,0%,60%,53%,33%,17%,0%,26%,46%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,4%,0%,0%,100%,0%,0%,24%,33%,33%,0%,0%,14%,,,,,,,,,
,,"oui, à un parent",%,43%,33%,0%,0%,0%,20%,71%,67%,0%,0%,26%,43%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,18%,4%,,,,,,,,,
,,Autre,%,0%,0%,0%,100%,0%,20%,0%,33%,50%,0%,8%,10%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,44%,31%,9%,100%,60%,68%,41%,64%,70%,0%,50%,44%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,8%,19%,3%,0%,0%,19%,10%,0%,0%,0%,13%,11%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,75%,0%,67%,100%,0%,80%,71%,67%,100%,0%,51%,69%,,,,,,,,,
,,oui,%,25%,100%,33%,0%,0%,20%,29%,33%,0%,100%,49%,31%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,15%,0%,100%,0%,0%,25%,67%,100%,100%,0%,52%,57%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,52%,0%,0%,100%,0%,25%,50%,100%,100%,0%,20%,49%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,20%,0%,0%,0%,0%,50%,8%,0%,0%,0%,23%,15%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,13%,0%,0%,0%,0%,25%,0%,0%,0%,0%,9%,6%,,,,,,,,,
,,Trop lent,%,33%,0%,0%,0%,0%,0%,42%,0%,0%,0%,33%,23%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,5%,0%,0%,0%,0%,25%,17%,0%,0%,0%,1%,13%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,5%,0%,0%,0%,0%,25%,42%,0%,0%,0%,20%,25%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,,,,,,,,,
CRIMES -sorcellerie,Victime de sorcellerie  (12 derniers mois),Oui,%,7%,19%,17%,5%,3%,10%,46%,14%,16%,1%,10%,15%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,49%,31%,39%,24%,50%,55%,35%,25%,45%,50%,51%,39%,,,,,,,,,
,,oui,%,51%,69%,61%,76%,50%,45%,65%,75%,55%,50%,49%,61%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,26%,31%,11%,33%,33%,33%,43%,58%,34%,0%,33%,33%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,21%,23%,8%,0%,100%,83%,31%,21%,22%,0%,17%,30%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,13%,8%,19%,0%,33%,83%,29%,42%,11%,0%,11%,27%,,,,,,,,,
,, Je ne connais pas les auteurs,%,30%,46%,70%,67%,0%,42%,71%,26%,39%,100%,36%,53%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,13%,0%,11%,0%,33%,8%,0%,37%,6%,0%,5%,5%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,6%,0%,0%,0%,33%,25%,23%,0%,11%,100%,8%,13%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,2%,0%,5%,0%,67%,8%,17%,0%,17%,100%,12%,12%,,,,,,,,,
,,Autre,%,8%,0%,0%,33%,0%,0%,3%,16%,5%,0%,7%,4%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,13%,7%,3%,0%,33%,60%,20%,0%,4%,0%,26%,16%,,,,,,,,,
,,"oui, au chef de quartier",%,59%,55%,75%,75%,100%,70%,70%,79%,96%,100%,55%,72%,,,,,,,,,
,,"oui, au tribunal",%,2%,7%,12%,0%,0%,0%,5%,0%,0%,0%,8%,5%,,,,,,,,,
,,"oui, à la gendarmerie",%,9%,41%,7%,38%,67%,20%,34%,3%,18%,100%,10%,23%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,28%,10%,3%,21%,0%,0%,28%,52%,49%,0%,12%,21%,,,,,,,,,
,,"oui, à un parent",%,63%,7%,0%,10%,67%,40%,58%,88%,23%,100%,31%,39%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,14%,0%,0%,0%,3%,0%,0%,0%,1%,3%,,,,,,,,,
,,Autre,%,2%,0%,0%,0%,33%,0%,2%,0%,0%,0%,3%,1%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,49%,50%,57%,84%,100%,50%,44%,9%,67%,0%,44%,49%,,,,,,,,,
