Catégories,Variables,Réponses,Unit,Zone 9,Zone 10,Zone 11,Zone 12,1er,2ème,3ème,4ème,5ème,6ème,7ème,8ème,TOTAL,Source,Source Link,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,0%,2%,17%,0%,4%,0%,0%,11%,4%,6%,2%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,0%,5%,0%,0%,8%,3%,0%,7%,2%,5%,0%,0%,2%,,,,,,,,,
,,Autre,%,11%,9%,4%,0%,0%,3%,0%,0%,4%,0%,0%,0%,2%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,14%,14%,27%,7%,26%,27%,0%,26%,56%,21%,36%,50%,32%,,,,,,,,,
,,"oui, au chef de quartier",%,63%,68%,70%,75%,59%,73%,63%,76%,49%,58%,75%,44%,62%,,,,,,,,,
,,"oui, au tribunal",%,3%,4%,0%,0%,19%,14%,0%,3%,2%,8%,11%,0%,4%,,,,,,,,,
,,"oui, à la gendarmerie",%,31%,7%,10%,25%,37%,27%,38%,9%,7%,21%,7%,3%,14%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,0%,4%,4%,0%,0%,0%,2%,4%,0%,6%,2%,,,,,,,,,
,,"oui, à un parent",%,14%,39%,27%,43%,22%,14%,13%,32%,22%,25%,21%,24%,25%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,4%,4%,9%,13%,3%,0%,4%,4%,0%,2%,,,,,,,,,
,,Autre,%,3%,4%,3%,4%,0%,0%,13%,3%,0%,0%,7%,6%,3%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,28%,22%,21%,19%,41%,24%,17%,29%,22%,12%,25%,28%,23%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,23%,16%,13%,15%,33%,12%,9%,19%,16%,9%,15%,23%,16%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,57%,64%,63%,54%,48%,64%,75%,53%,54%,79%,57%,53%,59%,,,,,,,,,
,,oui,%,43%,36%,37%,46%,52%,36%,25%,44%,46%,21%,43%,44%,41%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,25%,17%,16%,27%,23%,29%,0%,28%,23%,0%,25%,50%,23%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,80%,100%,100%,73%,69%,71%,67%,72%,59%,89%,75%,72%,76%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,20%,0%,0%,0%,31%,0%,0%,0%,0%,26%,0%,6%,5%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,5%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,6%,2%,,,,,,,,,
,,Trop lent,%,15%,0%,0%,0%,31%,14%,33%,11%,18%,16%,12%,17%,13%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,0%,0%,0%,0%,23%,14%,0%,6%,0%,16%,0%,6%,4%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,0%,0%,0%,0%,0%,14%,0%,17%,9%,0%,6%,6%,6%,,,,,,,,,
,,Autre,%,0%,0%,0%,13%,0%,0%,0%,6%,18%,0%,6%,0%,6%,,,,,,,,,
CRIMES - hors domicile,Victime d'un vol ou tentative de vol/cambriolage hors de votre domicile (12 derniers mois),Oui,%,8%,16%,24%,19%,13%,15%,11%,25%,22%,12%,16%,16%,17%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,59%,49%,40%,45%,39%,53%,62%,50%,46%,46%,34%,40%,47%,,,,,,,,,
,,oui,%,41%,51%,60%,55%,61%,47%,38%,50%,54%,54%,66%,60%,53%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,20%,24%,29%,26%,27%,17%,33%,29%,41%,8%,58%,29%,30%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,40%,24%,19%,16%,36%,44%,13%,29%,36%,33%,17%,36%,29%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,10%,18%,5%,5%,27%,28%,7%,14%,14%,17%,25%,14%,14%,,,,,,,,,
,, Je ne connais pas les auteurs,%,50%,71%,67%,53%,91%,44%,53%,39%,55%,83%,25%,43%,53%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,0%,12%,5%,5%,9%,11%,7%,0%,5%,0%,8%,0%,4%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,10%,0%,0%,0%,18%,6%,7%,14%,5%,0%,0%,0%,5%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,10%,6%,5%,5%,0%,17%,0%,7%,5%,0%,0%,7%,6%,,,,,,,,,
,,Autre,%,0%,6%,0%,11%,0%,11%,0%,4%,0%,0%,0%,7%,3%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,29%,22%,23%,9%,47%,50%,33%,57%,31%,7%,35%,43%,34%,,,,,,,,,
,,"oui, au chef de quartier",%,86%,72%,71%,74%,47%,50%,56%,61%,62%,57%,65%,52%,62%,,,,,,,,,
,,"oui, au tribunal",%,0%,0%,0%,0%,6%,12%,0%,0%,8%,14%,4%,5%,4%,,,,,,,,,
,,"oui, à la gendarmerie",%,0%,11%,3%,13%,29%,31%,11%,4%,35%,29%,26%,14%,18%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,3%,4%,0%,0%,0%,0%,4%,7%,0%,0%,2%,,,,,,,,,
,,"oui, à un parent",%,29%,44%,45%,35%,24%,19%,0%,36%,19%,21%,39%,33%,29%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,6%,0%,6%,0%,11%,0%,0%,7%,9%,0%,2%,,,,,,,,,
,,Autre,%,0%,0%,6%,4%,0%,0%,0%,0%,0%,0%,0%,0%,1%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,12%,26%,31%,26%,29%,18%,46%,36%,23%,19%,34%,26%,28%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,12%,17%,23%,26%,32%,12%,21%,23%,21%,23%,34%,20%,22%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,71%,61%,39%,43%,59%,56%,89%,39%,46%,50%,30%,52%,48%,,,,,,,,,
,,oui,%,29%,39%,61%,57%,41%,44%,11%,61%,54%,50%,70%,48%,52%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,20%,27%,42%,30%,30%,0%,13%,27%,42%,29%,14%,18%,26%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,80%,82%,67%,70%,80%,78%,38%,64%,58%,100%,100%,73%,69%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,0%,9%,0%,0%,10%,11%,13%,0%,8%,0%,14%,18%,7%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,1%,,,,,,,,,
,,Trop lent,%,20%,0%,0%,0%,30%,22%,13%,0%,8%,14%,0%,27%,10%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,20%,0%,0%,0%,0%,11%,13%,0%,0%,0%,0%,0%,3%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,20%,9%,0%,0%,0%,33%,13%,18%,25%,0%,0%,18%,15%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,9%,2%,,,,,,,,,
CRIMES - destruction de maison ou biens,Victime de destruction de votre maison ou autre bien vous appartenant (12 derniers mois),Oui,%,5%,15%,11%,12%,6%,6%,10%,10%,20%,6%,6%,8%,11%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,50%,52%,44%,31%,38%,50%,78%,41%,36%,38%,36%,41%,45%,,,,,,,,,
,,oui,%,50%,48%,56%,69%,62%,50%,22%,59%,64%,62%,64%,59%,55%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,40%,6%,27%,25%,0%,14%,11%,44%,38%,20%,0%,14%,24%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,0%,18%,18%,38%,20%,57%,11%,0%,31%,60%,40%,29%,24%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,40%,18%,9%,0%,20%,57%,0%,11%,25%,40%,0%,43%,19%,,,,,,,,,
,, Je ne connais pas les auteurs,%,40%,59%,45%,50%,80%,43%,56%,11%,44%,20%,20%,57%,44%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,20%,6%,0%,0%,60%,29%,6%,22%,0%,40%,40%,14%,11%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,18%,25%,20%,29%,6%,11%,6%,0%,20%,0%,8%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,20%,12%,9%,13%,0%,0%,17%,22%,0%,0%,0%,0%,9%,,,,,,,,,
,,Autre,%,0%,6%,27%,0%,0%,0%,0%,0%,6%,20%,0%,0%,5%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,0%,19%,50%,17%,50%,29%,0%,38%,39%,0%,33%,60%,32%,,,,,,,,,
,,"oui, au chef de quartier",%,60%,87%,86%,78%,50%,100%,40%,85%,79%,50%,67%,50%,74%,,,,,,,,,
,,"oui, au tribunal",%,0%,31%,21%,33%,0%,29%,0%,15%,18%,38%,33%,10%,20%,,,,,,,,,
,,"oui, à la gendarmerie",%,0%,13%,14%,44%,50%,0%,20%,0%,4%,38%,33%,0%,12%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,0%,0%,0%,0%,0%,8%,14%,13%,0%,0%,7%,,,,,,,,,
,,"oui, à un parent",%,20%,31%,57%,39%,37%,14%,0%,23%,18%,0%,11%,30%,23%,,,,,,,,,
,,"Oui, procureur/ parquet",%,20%,0%,7%,6%,37%,14%,40%,8%,18%,13%,11%,10%,13%,,,,,,,,,
,,Autre,%,20%,0%,7%,0%,0%,0%,0%,0%,7%,0%,0%,10%,4%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,30%,21%,64%,58%,23%,36%,26%,41%,27%,69%,64%,41%,38%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,20%,15%,36%,31%,38%,36%,4%,18%,16%,23%,14%,29%,20%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,40%,63%,29%,50%,50%,14%,100%,31%,46%,50%,56%,50%,47%,,,,,,,,,
,,oui,%,60%,37%,71%,50%,50%,86%,0%,69%,54%,50%,44%,50%,53%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,50%,50%,0%,22%,0%,100%,40%,50%,54%,25%,40%,80%,46%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,50%,80%,50%,67%,50%,100%,20%,75%,77%,25%,60%,40%,62%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,0%,0%,0%,0%,50%,0%,20%,0%,0%,25%,0%,0%,4%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,20%,4%,,,,,,,,,
,,Trop lent,%,50%,10%,50%,33%,100%,0%,0%,0%,15%,25%,0%,20%,17%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,50%,0%,0%,0%,0%,0%,0%,25%,0%,50%,0%,0%,6%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,0%,0%,25%,11%,25%,0%,20%,0%,8%,0%,0%,40%,10%,,,,,,,,,
,,Autre,%,0%,0%,0%,11%,0%,0%,0%,0%,0%,0%,0%,0%,1%,,,,,,,,,
CRIMES - agression physique,Victime d’agression physique (12 derniers mois),Oui,%,5%,7%,11%,10%,6%,5%,5%,5%,13%,6%,8%,7%,8%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,27%,56%,36%,17%,69%,33%,55%,33%,28%,62%,28%,31%,35%,,,,,,,,,
,,oui,%,73%,44%,64%,83%,31%,67%,45%,67%,72%,38%,72%,69%,65%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,33%,44%,33%,0%,44%,25%,0%,25%,37%,62%,40%,40%,34%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,33%,11%,11%,25%,44%,25%,0%,25%,12%,38%,60%,60%,24%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,33%,11%,0%,0%,56%,25%,67%,25%,12%,13%,20%,40%,23%,,,,,,,,,
,, Je ne connais pas les auteurs,%,67%,56%,22%,50%,33%,75%,17%,0%,12%,13%,20%,0%,23%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,0%,0%,11%,25%,33%,0%,0%,0%,12%,25%,20%,20%,11%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,0%,0%,0%,0%,17%,0%,25%,0%,20%,0%,8%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,0%,0%,11%,25%,0%,0%,0%,25%,12%,0%,0%,0%,7%,,,,,,,,,
,,Autre,%,0%,0%,11%,0%,0%,0%,0%,50%,0%,0%,20%,0%,6%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,38%,14%,38%,11%,50%,25%,0%,25%,57%,0%,31%,45%,35%,,,,,,,,,
,,"oui, au chef de quartier",%,50%,86%,50%,47%,25%,87%,40%,50%,24%,80%,62%,55%,47%,,,,,,,,,
,,"oui, au tribunal",%,0%,0%,0%,11%,25%,13%,20%,12%,0%,20%,8%,18%,7%,,,,,,,,,
,,"oui, à la gendarmerie",%,38%,14%,6%,42%,0%,62%,0%,12%,19%,20%,23%,0%,20%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,1%,,,,,,,,,
,,"oui, à un parent",%,13%,14%,56%,11%,50%,25%,0%,25%,24%,0%,23%,9%,21%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,0%,0%,20%,12%,0%,20%,8%,0%,4%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,20%,38%,5%,0%,0%,0%,6%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,55%,50%,64%,83%,54%,50%,64%,75%,69%,23%,50%,75%,63%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,27%,19%,12%,30%,38%,67%,9%,50%,24%,15%,28%,44%,28%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,50%,43%,50%,58%,75%,25%,80%,25%,57%,20%,31%,27%,46%,,,,,,,,,
,,oui,%,50%,57%,50%,42%,25%,75%,20%,75%,43%,80%,69%,73%,54%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,25%,33%,12%,36%,33%,0%,25%,0%,58%,0%,25%,0%,35%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,75%,0%,88%,45%,33%,50%,25%,50%,50%,0%,50%,67%,50%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,0%,0%,0%,9%,33%,50%,25%,50%,0%,0%,25%,0%,9%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,0%,0%,0%,8%,100%,50%,0%,7%,,,,,,,,,
,,Trop lent,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,50%,0%,12%,0%,33%,50%,0%,0%,0%,0%,25%,0%,7%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,0%,33%,38%,27%,0%,50%,25%,50%,8%,0%,50%,33%,22%,,,,,,,,,
,,Autre,%,0%,33%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,2%,,,,,,,,,
CRIMES - racket sur les routes,Victime de racket sur les routes (12 derniers mois),Oui,%,10%,6%,10%,13%,7%,9%,17%,13%,15%,8%,11%,8%,11%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,73%,62%,70%,83%,75%,75%,81%,79%,64%,71%,80%,83%,75%,,,,,,,,,
,,oui,%,27%,38%,30%,17%,25%,25%,19%,21%,36%,29%,20%,17%,25%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,50%,50%,44%,29%,42%,27%,13%,48%,57%,58%,70%,53%,43%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,25%,25%,31%,25%,42%,33%,13%,22%,38%,8%,15%,33%,25%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,19%,38%,6%,21%,33%,33%,13%,9%,29%,8%,15%,7%,17%,,,,,,,,,
,, Je ne connais pas les auteurs,%,19%,50%,44%,42%,33%,13%,17%,17%,0%,50%,50%,7%,22%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,19%,0%,19%,8%,17%,13%,13%,9%,5%,8%,0%,7%,9%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,12%,0%,6%,8%,17%,13%,10%,9%,14%,0%,0%,20%,10%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,0%,0%,0%,4%,8%,40%,17%,4%,10%,0%,0%,0%,8%,,,,,,,,,
,,Autre,%,0%,0%,6%,4%,8%,0%,7%,13%,10%,0%,10%,7%,7%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,17%,20%,14%,20%,0%,0%,0%,17%,33%,20%,20%,33%,20%,,,,,,,,,
,,"oui, au chef de quartier",%,67%,60%,71%,40%,0%,40%,0%,67%,17%,20%,80%,67%,36%,,,,,,,,,
,,"oui, au tribunal",%,17%,0%,29%,0%,25%,20%,14%,17%,8%,20%,0%,0%,12%,,,,,,,,,
,,"oui, à la gendarmerie",%,50%,20%,29%,0%,25%,20%,29%,17%,17%,20%,20%,33%,22%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,17%,0%,0%,0%,0%,0%,29%,0%,0%,0%,0%,0%,5%,,,,,,,,,
,,"oui, à un parent",%,0%,40%,71%,80%,50%,60%,14%,67%,25%,40%,20%,0%,36%,,,,,,,,,
,,"Oui, procureur/ parquet",%,0%,0%,0%,0%,25%,20%,0%,0%,17%,20%,20%,0%,9%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,0%,2%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,32%,38%,35%,14%,6%,30%,49%,28%,52%,29%,8%,39%,36%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,9%,23%,13%,0%,0%,10%,3%,0%,15%,12%,0%,0%,7%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,67%,60%,29%,80%,75%,80%,71%,50%,58%,40%,60%,67%,59%,,,,,,,,,
,,oui,%,33%,40%,71%,20%,25%,20%,29%,50%,42%,60%,40%,33%,41%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,25%,0%,0%,25%,33%,50%,20%,33%,43%,50%,67%,50%,35%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,0%,67%,100%,75%,0%,25%,60%,67%,29%,50%,0%,50%,43%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,25%,0%,0%,0%,0%,25%,0%,0%,0%,0%,33%,0%,5%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,25%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,0%,5%,,,,,,,,,
,,Trop lent,%,25%,0%,0%,0%,0%,25%,20%,0%,14%,0%,33%,0%,13%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,25%,0%,0%,0%,33%,0%,0%,0%,0%,0%,33%,50%,6%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,75%,33%,0%,0%,0%,0%,0%,0%,14%,0%,67%,0%,14%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,33%,0%,0%,0%,14%,0%,0%,0%,5%,,,,,,,,,
CRIMES - braquage,Victime de braquage (12 derniers mois),Oui,%,11%,11%,7%,3%,7%,8%,5%,4%,10%,14%,8%,7%,8%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,40%,50%,53%,86%,38%,67%,64%,56%,39%,50%,59%,67%,52%,,,,,,,,,
,,oui,%,60%,50%,47%,14%,62%,33%,36%,44%,61%,50%,41%,27%,47%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,10%,8%,25%,17%,17%,25%,14%,20%,56%,40%,40%,20%,29%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,10%,8%,12%,0%,67%,33%,14%,20%,22%,27%,40%,30%,22%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,10%,17%,0%,0%,83%,33%,29%,40%,11%,20%,40%,30%,22%,,,,,,,,,
,, Je ne connais pas les auteurs,%,80%,92%,50%,83%,50%,42%,29%,40%,33%,73%,70%,10%,52%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,10%,0%,0%,0%,33%,33%,14%,0%,22%,0%,0%,0%,9%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,8%,12%,0%,0%,17%,0%,0%,0%,13%,10%,10%,7%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,10%,0%,0%,0%,0%,17%,0%,20%,11%,7%,10%,10%,8%,,,,,,,,,
,,Autre,%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,10%,30%,5%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,27%,42%,43%,0%,40%,67%,0%,25%,64%,47%,43%,100%,48%,,,,,,,,,
,,"oui, au chef de quartier",%,67%,67%,57%,100%,30%,0%,0%,50%,43%,47%,43%,75%,46%,,,,,,,,,
,,"oui, au tribunal",%,0%,8%,0%,0%,0%,17%,0%,0%,14%,13%,29%,25%,11%,,,,,,,,,
,,"oui, à la gendarmerie",%,40%,25%,29%,0%,60%,17%,0%,100%,14%,40%,29%,0%,29%,,,,,,,,,
,,"oui, au prêtre / imam / pasteur du quartier",%,0%,0%,0%,0%,10%,0%,25%,0%,0%,0%,0%,0%,2%,,,,,,,,,
,,"oui, à un parent",%,0%,58%,43%,0%,30%,0%,0%,50%,0%,13%,29%,25%,16%,,,,,,,,,
,,"Oui, procureur/ parquet",%,13%,8%,14%,0%,10%,33%,75%,50%,14%,0%,43%,25%,19%,,,,,,,,,
,,Autre,%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,14%,0%,3%,,,,,,,,,
,Les auteurs ont été identifiés (% parmi les victimes),Oui,%,16%,8%,13%,14%,19%,28%,55%,33%,39%,13%,18%,20%,25%,,,,,,,,,
,Les auteurs ont été arrêtés / punis (% parmi les victimes),Oui,%,12%,4%,13%,0%,12%,17%,9%,0%,30%,7%,18%,0%,13%,,,,,,,,,
,Satisfaction de la façon dont l'affaire a été traitée (% parmi les victimes),non,%,80%,92%,71%,100%,60%,83%,75%,75%,64%,93%,57%,100%,78%,,,,,,,,,
,,oui,%,20%,8%,29%,0%,40%,17%,25%,25%,36%,7%,43%,0%,22%,,,,,,,,,
,"Si non, pourquoi? (% parmi ceux qui sont insatisfaits - réponses multiples)",N'ont rien fait,%,17%,18%,0%,0%,17%,20%,0%,0%,11%,71%,0%,50%,27%,,,,,,,,,
,,N'ont pas retrouvé ou arrêté les coupables,%,83%,91%,100%,0%,83%,80%,67%,67%,78%,79%,100%,50%,78%,,,,,,,,,
,,Ne m'ont pas tenu au courant,%,0%,9%,0%,0%,17%,0%,33%,0%,0%,7%,0%,25%,6%,,,,,,,,,
,,"M'ont mal traité (insulte,…)",%,0%,0%,0%,0%,0%,0%,0%,0%,11%,0%,0%,0%,2%,,,,,,,,,
,,Trop lent,%,33%,9%,20%,0%,0%,20%,0%,0%,11%,14%,0%,25%,14%,,,,,,,,,
,,Ils ont des préjugés contre moi,%,0%,9%,0%,100%,0%,0%,0%,0%,0%,7%,0%,0%,3%,,,,,,,,,
,,Ils me demandent des pots de vin / corruption,%,8%,0%,20%,0%,17%,0%,0%,33%,0%,7%,0%,25%,7%,,,,,,,,,
,,Autre,%,8%,18%,0%,0%,0%,0%,0%,0%,11%,0%,0%,25%,7%,,,,,,,,,
CRIMES -corruption,Payé ou été sollicité pour payer des motivations à un représentant de l'Etat (12 derniers mois),Oui,%,4%,4%,7%,9%,9%,5%,5%,10%,9%,4%,6%,5%,6%,,,,,,,,,
,Incident rapporté aux forces de l'ordre ou à quelqu'un d'autre (% répondants parmi les victimes - réponses multiples),non,%,13%,62%,69%,79%,70%,67%,91%,95%,68%,50%,85%,67%,74%,,,,,,,,,
,,oui,%,87%,38%,31%,21%,30%,33%,9%,5%,32%,50%,15%,33%,26%,,,,,,,,,
,Si non pourquoi pas (% parmi ceux qui ont dit non - réponses multiples),Rien ne sera fait,%,0%,60%,73%,47%,71%,50%,50%,50%,69%,25%,55%,75%,57%,,,,,,,,,
,,Les auteurs ne seront pas arrêtés ,%,0%,0%,18%,13%,14%,25%,0%,15%,15%,0%,27%,38%,15%,,,,,,,,,
,,Les auteurs ne seront pas punis,%,100%,20%,18%,13%,21%,25%,20%,10%,15%,50%,18%,13%,17%,,,,,,,,,
,, Je ne connais pas les auteurs,%,0%,20%,9%,7%,14%,25%,0%,10%,0%,50%,9%,13%,9%,,,,,,,,,
,, Je n'ai pas confiance dans ces acteurs,%,0%,0%,0%,20%,14%,13%,10%,10%,8%,25%,9%,0%,9%,,,,,,,,,
,,Je ne sais pas où aller porter plainte,%,0%,0%,0%,0%,21%,25%,10%,15%,15%,0%,0%,0%,10%,,,,,,,,,
,,Il n'y a personne auprès de qui je pourrais porter plainte,%,0%,0%,0%,7%,0%,13%,10%,30%,8%,0%,0%,0%,11%,,,,,,,,,
,,Autre,%,0%,0%,0%,13%,0%,0%,0%,10%,0%,0%,0%,0%,4%,,,,,,,,,
,"Si oui, a qui  (% parmi ceux qui ont dit oui - réponses multiples)","oui, à la police",%,14%,33%,0%,0%,17%,0%,0%,0%,33%,0%,0%,0%,12%,,,,,,,,,
,,"oui, au chef de quartier",%,57%,100%,0%,0%,33%,50%,0%,0%,67%,75%,100%,25%,48%,,,,,,,,,
,,"oui, au tribunal",%,14%,67%,0%,25%,50%,0%,0%,0%,17%,50%,50%,0%,19%,,,,,,,,,
,,"oui, à la gendarmerie",%,57%,0%,0%,50%,50%,75%,0%,0%,17%,50%,0%,0%,28%,,,,,,,,,
